# Wavelength(nm)	SPD
280	0.082000
281	0.150000
282	0.267000
283	0.325000
284	0.299000
285	0.176000
286	0.242000
287	0.362000
288	0.311000
289	0.392000
290	0.563000
291	0.618000
292	0.567000
293	0.538000
294	0.533000
295	0.527000
296	0.573000
297	0.478000
298	0.528000
299	0.472000
300	0.458000
301	0.463000
302	0.449000
303	0.612000
304	0.621000
305	0.642000
306	0.565000
307	0.605000
308	0.645000
309	0.580000
310	0.533000
311	0.762000
312	0.706000
313	0.694000
314	0.717000
315	0.685000
316	0.587000
317	0.739000
318	0.724000
319	0.706000
320	0.775000
321	0.765000
322	0.735000
323	0.649000
324	0.741000
325	0.829000
326	0.998000
327	1.000000
328	0.957000
329	1.000000
330	1.110000
331	0.991000
332	0.993000
333	0.964000
334	0.956000
335	1.010000
336	0.890000
337	0.818000
338	0.925000
339	0.969000
340	1.050000
341	0.971000
342	0.996000
343	1.040000
344	0.854000
345	0.916000
346	0.943000
347	0.970000
348	0.925000
349	0.899000
350	1.010000
351	1.050000
352	0.984000
353	0.980000
354	1.130000
355	1.140000
356	1.030000
357	0.842000
358	0.789000
359	0.858000
360	1.090000
361	0.942000
362	0.958000
363	1.070000
364	1.070000
365	1.100000
366	1.290000
367	1.260000
368	1.160000
369	1.190000
370	1.290000
371	1.180000
372	1.140000
373	1.040000
374	0.934000
375	0.985000
376	1.120000
377	1.180000
378	1.410000
379	1.230000
380	1.150000
381	1.250000
382	0.954000
383	0.736000
384	0.821000
385	1.080000
386	0.991000
387	1.040000
388	1.010000
389	1.080000
390	1.250000
391	1.330000
392	1.240000
393	0.745000
394	0.767000
395	1.250000
396	1.160000
397	0.652000
398	1.300000
399	1.620000
400	1.690000
401	1.750000
402	1.810000
403	1.740000
404	1.760000
405	1.720000
406	1.670000
407	1.630000
408	1.700000
409	1.810000
410	1.540000
411	1.720000
412	1.820000
413	1.740000
414	1.710000
415	1.770000
416	1.820000
417	1.770000
418	1.690000
419	1.750000
420	1.600000
421	1.810000
422	1.780000
423	1.720000
424	1.710000
425	1.760000
426	1.700000
427	1.640000
428	1.650000
429	1.520000
430	1.210000
431	1.100000
432	1.820000
433	1.690000
434	1.560000
435	1.710000
436	1.870000
437	1.900000
438	1.660000
439	1.600000
440	1.830000
441	1.800000
442	1.920000
443	1.950000
444	1.890000
445	1.970000
446	1.760000
447	1.990000
448	2.010000
449	2.000000
450	2.070000
451	2.140000
452	2.050000
453	1.890000
454	2.020000
455	2.000000
456	2.060000
457	2.080000
458	2.030000
459	2.010000
460	2.000000
461	2.060000
462	2.080000
463	2.080000
464	2.020000
465	1.980000
466	2.020000
467	1.930000
468	2.010000
469	2.020000
470	1.940000
471	1.970000
472	2.070000
473	1.990000
474	2.010000
475	2.080000
476	2.010000
477	2.030000
478	2.090000
479	2.040000
480	2.070000
481	2.060000
482	2.060000
483	2.030000
484	1.990000
485	1.980000
486	1.600000
487	1.790000
488	1.940000
489	1.820000
490	2.030000
491	1.950000
492	1.860000
493	1.980000
494	1.930000
495	2.050000
496	1.950000
497	1.980000
498	1.920000
499	1.920000
500	1.920000
501	1.860000
502	1.860000
503	1.950000
504	1.830000
505	1.950000
506	2.030000
507	1.940000
508	1.880000
509	1.970000
510	1.910000
511	1.940000
512	1.990000
513	1.870000
514	1.820000
515	1.880000
516	1.890000
517	1.540000
518	1.760000
519	1.700000
520	1.860000
521	1.870000
522	1.920000
523	1.800000
524	1.940000
525	1.930000
526	1.870000
527	1.640000
528	1.880000
529	1.970000
530	1.890000
531	2.000000
532	1.960000
533	1.750000
534	1.870000
535	1.900000
536	1.970000
537	1.820000
538	1.910000
539	1.860000
540	1.800000
541	1.730000
542	1.890000
543	1.850000
544	1.920000
545	1.870000
546	1.860000
547	1.880000
548	1.830000
549	1.880000
550	1.860000
551	1.860000
552	1.900000
553	1.840000
554	1.880000
555	1.890000
556	1.860000
557	1.810000
558	1.850000
559	1.760000
560	1.790000
561	1.890000
562	1.800000
563	1.870000
564	1.840000
565	1.850000
566	1.750000
567	1.870000
568	1.860000
569	1.830000
570	1.830000
571	1.760000
